wavelength (nm),Absorbance
800.0099487,-0.026080752
799.0023193,-0.025569214
797.9943237,-0.029208852
796.9859009,-0.028492795
796.0119629,-0.02642945
795.0026855,-0.027547827
793.9931641,-0.029858438
792.9830933,-0.024061682
792.0075684,-0.027573919
790.9967041,-0.030440161
789.9855347,-0.027961373
789.0088501,-0.024620447
787.9968872,-0.024688633
786.984436,-0.026186438
786.0065918,-0.023111036
784.9934082,-0.022425754
784.0147705,-0.02499163
783.0009155,-0.026624268
781.9865112,-0.026809214
781.0068359,-0.025227932
779.9916382,-0.022526976
779.0111084,-0.026054181
777.9952393,-0.028648257
777.0139771,-0.025948754
775.9973145,-0.023991045
775.0152588,-0.03074028
773.9978638,-0.030519458
773.0151367,-0.026416881
771.9968872,-0.025399314
771.0133667,-0.028205382
769.9944458,-0.027810618
769.0101318,-0.027222347
767.9904175,-0.022994336
767.0054321,-0.025406493
765.9849243,-0.025906274
764.9991455,-0.025471481
764.0131226,-0.024755931
762.9914551,-0.024333885
762.0046387,-0.026016636
761.0175171,-0.026490534
759.994751,-0.025907688
759.0067749,-0.025610555
757.9833374,-0.025607381
756.9946289,-0.027568769
756.0056763,-0.028181996
755.0162964,-0.027754674
753.991272,-0.027386332
753.0012207,-0.02622436
752.0107422,-0.025826326
750.9845581,-0.025911201
749.9934692,-0.027056839
749.0019531,-0.025665361
748.0101318,-0.02491249
746.9824219,-0.025262713
745.9898682,-0.02541865
744.9970093,-0.025109259
744.0036621,-0.025751291
743.0100098,-0.024388559
742.0160522,-0.023933625
740.9862061,-0.02629015
739.9915161,-0.026163822
738.9963989,-0.02791501
738.0010986,-0.027532861
737.0053101,-0.026905429
736.0092163,-0.026007567
735.0127563,-0.027394449
734.0159302,-0.02654596
732.9832153,-0.027361054
731.9857178,-0.025848961
730.987854,-0.026182491
729.9897461,-0.025246153
728.9911499,-0.024653465
727.9923096,-0.024765661
726.993042,-0.024393894
725.9934692,-0.025206048
724.9935913,-0.02539238
723.9934082,-0.025669362
722.9927368,-0.027387353
721.9918213,-0.026099425
720.9905396,-0.02596085
719.9888916,-0.02627831
718.9869385,-0.026993839
717.9846802,-0.027128536
717.0178223,-0.027589563
716.0148315,-0.027182616
715.0115967,-0.02640816
714.0079346,-0.026854768
713.0039673,-0.026089285
711.9996338,-0.025823303
710.9949341,-0.024646813
709.9899292,-0.02466765
708.9846191,-0.0249689
708.0148926,-0.025462985
707.0089111,-0.025730457
706.0026245,-0.026469979
704.9959717,-0.026790865
703.9889526,-0.027611718
703.0176392,-0.027490001
702.0100098,-0.027247485
701.0020142,-0.027749961
699.9937134,-0.026798798
698.9850464,-0.027339472
698.012146,-0.027234405
697.0029297,-0.025553886
695.9932251,-0.025777491
694.9833374,-0.024924662
694.0091553,-0.025272433
692.9985352,-0.024720816
691.9876099,-0.025747828
691.0125122,-0.026172791
690.0009766,-0.027213788
688.9890747,-0.02648581
688.0130615,-0.027261246
687.0004883,-0.026488537
685.9876709,-0.027698381
685.0106201,-0.026614966
683.9971924,-0.026821917
682.9833374,-0.026459068
682.0054932,-0.026363874
680.9910278,-0.026222361
680.0125122,-0.025743583
678.9974365,-0.025949486
677.9820557,-0.025362153
677.0026245,-0.025573118
675.9865723,-0.025521277
675.0065308,-0.02666473
673.9898682,-0.025019292
673.0092163,-0.027119927
671.9919434,-0.02670957
671.0106812,-0.027767057
669.9927979,-0.027548894
669.0109253,-0.026790669
667.9924316,-0.026166601
667.0099487,-0.02697102
665.9907837,-0.024996322
665.0078125,-0.025691176
663.9879761,-0.024553912
663.0043335,-0.025284352
661.9840088,-0.026866157
660.9997559,-0.026286008
660.0153198,-0.026608733
658.9939575,-0.027062433
658.0088501,-0.026753724
656.9868774,-0.026465205
656.0012817,-0.026850341
655.0152588,-0.026136279
653.9923706,-0.025882959
653.0058594,-0.026347114
651.9824219,-0.025243955
650.9952393,-0.025511172
650.0078125,-0.02597704
648.9834595,-0.024317829
647.9954224,-0.024329823
647.0071411,-0.024972126
645.9818726,-0.025498625
644.992981,-0.024920605
644.0038452,-0.025125481
643.0143433,-0.025415916
641.987915,-0.024345633
640.9978638,-0.025337344
640.0075684,-0.024516629
639.0169678,-0.024073338
637.9893799,-0.02292102
636.9981689,-0.022201056
636.0067749,-0.021736238
635.0150146,-0.023239629
633.9862671,-0.022624636
632.9939575,-0.021405188
632.0013428,-0.022577899
631.0085449,-0.022065017
630.0153809,-0.021608923
628.9851685,-0.021842839
627.9915161,-0.022368964
626.9974976,-0.02203628
626.0032349,-0.021187158
625.008667,-0.020369127
624.0139771,-0.020870691
622.9819946,-0.019550394
621.9866333,-0.018825857
620.9910278,-0.019467387
619.9950562,-0.019317418
618.9989014,-0.019086298
618.0024414,-0.020040397
617.0056763,-0.019658821
616.008667,-0.020228909
615.0114136,-0.020393975
614.013916,-0.019604884
613.0161133,-0.01918954
612.0180664,-0.018646553
610.9827271,-0.019356338
609.9840088,-0.017986672
608.9851685,-0.018813016
607.9860229,-0.019426793
606.9866333,-0.018835921
605.9868774,-0.019797146
604.9869385,-0.020432256
603.9866943,-0.019629577
602.986145,-0.020389233
601.9854736,-0.01960226
600.984436,-0.020077078
599.9831543,-0.018813908
598.9815674,-0.019044777
598.0169067,-0.019141935
597.0147705,-0.019662037
596.0124512,-0.019401098
595.0098267,-0.020092994
594.007019,-0.020927876
593.0039063,-0.020407213
592.0005493,-0.020542093
590.9968872,-0.019703351
589.992981,-0.020431813
588.9888916,-0.019953031
587.984375,-0.019933648
587.0169678,-0.019518867
586.0119629,-0.018059831
585.0068359,-0.018951066
584.0014038,-0.019291321
582.9957275,-0.018921379
581.9897461,-0.019582516
580.9835815,-0.020033376
580.0143433,-0.019663768
579.0076904,-0.019458428
578.0006714,-0.019256406
576.9934692,-0.018847471
575.9860229,-0.018802308
575.015625,-0.018251291
574.0076294,-0.018302618
572.9993896,-0.019064745
571.9909058,-0.018569326
570.9822388,-0.019076835
570.0106201,-0.019097
569.0014038,-0.019149465
567.9919434,-0.018761303
566.9821777,-0.018121162
566.0095825,-0.018515749
564.9993896,-0.017423777
563.9889526,-0.017238669
563.015686,-0.017639577
562.0046997,-0.017648675
560.9935913,-0.018556677
559.9821167,-0.019383175
559.0079346,-0.01867036
557.9959717,-0.018940708
556.9838257,-0.018518528
556.0089722,-0.018473031
554.9962158,-0.018195689
553.9833984,-0.017028097
553.0078125,-0.01766145
551.9944458,-0.017727954
551.0183716,-0.017286832
550.0045166,-0.016936738
548.9904175,-0.017268922
548.0136108,-0.017557746
546.9990845,-0.016979706
545.984314,-0.016576296
545.006897,-0.015512951
543.9915771,-0.015574841
543.0136719,-0.014596404
541.9979248,-0.014983652
540.9819946,-0.015118425
540.0033569,-0.014919527
538.9869995,-0.014640856
538.0078735,-0.014459466
536.9910278,-0.013159134
536.0115356,-0.01316908
534.9941406,-0.012326582
534.0142822,-0.011140104
532.9963989,-0.011417953
532.0160522,-0.010638435
530.9977417,-0.010464211
530.0169067,-0.010054598
528.99823,-0.009473115
528.0169067,-0.009354263
526.9977417,-0.00818955
526.0160522,-0.006707588
524.9963989,-0.006194442
524.0142822,-0.005690346
522.9940796,-0.004576105
522.0115967,-0.004359556
520.9910278,-0.003829617
520.0080566,-0.002584464
518.9869995,-0.002728696
518.0036011,-0.001186905
516.9820557,0.000162051
515.99823,0.000905944
515.0142212,0.001574933
513.9920044,0.002076507
513.0075684,0.00362491
511.9850464,0.003916996
511.0000916,0.004963729
510.0149536,0.006158292
508.9916687,0.006790331
508.006134,0.008029092
506.9825134,0.009644133
505.996521,0.010340541
505.0103455,0.010950534
503.9860535,0.012285906
502.9994507,0.013092547
502.0126648,0.013244452
500.9876404,0.015377964
500.0004578,0.016614199
499.013092,0.018072359
497.9873657,0.019130496
496.9995728,0.020106157
496.0115662,0.02061582
494.98526,0.021684179
493.9968262,0.022334797
493.0082092,0.023877794
491.9812927,0.025192728
490.9922485,0.026479959
490.0029602,0.027050659
489.0134888,0.028962119
487.9857483,0.028952958
486.9958496,0.029840123
486.0058289,0.030666761
485.0155334,0.031979874
483.986969,0.032791924
482.9963074,0.034233086
482.0054932,0.035079051
481.0144043,0.035777301
479.9850464,0.036329906
478.9935608,0.037045646
478.0018616,0.037838906
477.0100403,0.039129272
476.0180054,0.039643817
474.9875488,0.040443514
473.9950867,0.041526038
473.0025024,0.042103324
472.0096436,0.042393766
471.0166016,0.043539312
469.9851685,0.043750063
468.9917908,0.045016531
467.99823,0.045182899
467.0043945,0.045495298
466.010376,0.04621771
465.0162354,0.046625692
463.9836426,0.047929261
462.9890442,0.047502004
461.9943237,0.048093252
460.9993896,0.048479989
460.0042419,0.048885118
459.0089417,0.049096305
458.0134277,0.048656229
457.0177612,0.04885589
455.9835205,0.049095146
454.9874573,0.049411334
453.9911804,0.050217789
452.994751,0.050212819
451.9981079,0.049802877
451.0013428,0.050158132
450.0043335,0.049814694
449.0071106,0.049480136
448.0097961,0.050625794
447.0122681,0.049662385
446.0145264,0.050378803
445.016571,0.049220636
444.0185547,0.049085088
442.981842,0.048700098
441.983429,0.048734471
440.9847107,0.04867395
439.9859314,0.048998293
438.9869385,0.048218913
437.9877319,0.047863998
436.9884033,0.047213756
435.9888611,0.046368353
434.9891357,0.04722371
433.9891968,0.046818685
432.9891968,0.046090666
431.9889221,0.045220096
430.9884644,0.04358175
429.987915,0.044341262
428.9871521,0.043631807
427.9862061,0.043907322
426.9850464,0.043019105
425.9837646,0.041671954
424.9823303,0.041277051
424.0191956,0.040590402
423.0173645,0.040291023
422.0153503,0.039349735
421.0132141,0.038945045
420.0109253,0.038275018
419.0083618,0.037249461
418.0057373,0.035919275
417.0028992,0.036588348
415.9998779,0.035768673
414.9966431,0.035876341
413.9933472,0.033111654
412.9898376,0.032212213
411.9861145,0.032575652
410.9822693,0.032735478
410.0169067,0.031203358
409.0126648,0.030259309
408.0083313,0.028675484
407.0038452,0.028051697
405.999176,0.027603298
404.9942932,0.027172362
403.9892578,0.026525028
402.9841003,0.024804384
402.017395,0.02503017
401.0119019,0.024005368
400.0062561,0.023475839
399.0003967,0.022364149
397.9944153,0.020909756
396.9882507,0.020441804
395.9819641,0.020013442
395.0141907,0.018758073
394.0075378,0.018596634
393.0007324,0.017766556
391.9937744,0.015742587
390.9866638,0.015759362
390.0181274,0.014846737
389.0107117,0.014704953
388.0031433,0.013291078
386.9953918,0.01268011
385.9874878,0.011373022
385.0181885,0.011772648
384.0100098,0.011347937
383.0016174,0.010089964
381.993103,0.008804187
380.9844055,0.008277453
380.0143738,0.007721844
379.0053711,0.007242505
377.9962463,0.005933811
376.9869385,0.005519883
376.0163574,0.005574811
375.0067444,0.004565686
373.9969788,0.003519415
372.9871216,0.003759309
372.0158997,0.002185841
371.0056763,0.002855477
369.9953003,0.001438871
368.9848022,0.001048559
368.0130615,0.000186833
367.0022583,0.000250907
365.991333,-0.000923716
365.019104,-0.001510405
364.007843,-0.002201655
362.99646,-0.002537165
361.9849243,-0.002256304
361.0121155,-0.003004676
360.0003662,-0.00360638
358.9883423,-0.003170818
358.0151672,-0.004232785
357.0028687,-0.004655093
355.990509,-0.005847955
355.0168762,-0.005781699
354.0041809,-0.006952827
352.9913635,-0.006763916
352.017334,-0.007223082
351.0042114,-0.007771835
