solution_concentration,polymer_mw,polymer_mn,polymer_dispersity,hole_mobility,solution_treatment,substrate_pretreatment,post_process,channel_width,channel_length,film_deposition_type_drop,film_deposition_type_spin,dielectric_material_SiO2,electrode_configuration_BGBC,electrode_configuration_BGTC,film_deposition_type_MGC,solvent_boiling_point,delta_d,delta_p,delta_h,blend_conjugated_polymer,insulating_polymer,substrate_pretreat_sam,substrate_pretreat_plasma,substrate_pretreat_uv_ozone,solution_treatment_poor_solvent,solution_treatment_aging,solution_treatment_sonication,solution_treatment_mixing,solution_treatment_mixing_multiple,solution_treatment_uv_irradiation,post_process_annealing,post_process_drying,post_process_chemical
10,15.4,10.3,1.5,0.0076,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,20,11.1,1.8,0.00496,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,22,13.8,1.6,0.00948,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,29,19.3,1.5,0.012,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,42,23.3,1.8,0.00529,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,52,22.6,2.3,0.00554,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,76,44.7,1.7,0.00299,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,270,117.4,2.3,0.0081,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,15.4,10.3,1.5,0.0017,1,1,1,10000,20,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,20,11.1,1.8,0.00149,1,1,1,10000,20,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,22,13.8,1.6,0.0305,1,1,1,10000,20,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,29,19.3,1.5,0.0631,1,1,1,10000,20,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,42,23.3,1.8,0.0775,1,1,1,10000,20,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,52,22.6,2.3,0.0982,1,1,1,10000,20,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,76,44.7,1.7,0.1226,1,1,1,10000,20,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,270,117.4,2.3,0.1435,1,1,1,10000,20,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,15.4,10.3,1.5,0.00994,1,1,1,10000,20,1,0,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,20,11.1,1.8,0.0187,1,1,1,10000,20,1,0,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,22,13.8,1.6,0.0273,1,1,1,10000,20,1,0,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,29,19.3,1.5,0.0539,1,1,1,10000,20,1,0,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,42,23.3,1.8,0.0612,1,1,1,10000,20,1,0,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,52,22.6,2.3,0.0662,1,1,1,10000,20,1,0,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,76,44.7,1.7,0.0652,1,1,1,10000,20,1,0,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,270,117.4,2.3,0.0813,1,1,1,10000,20,1,0,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,76,44.7,1.7,0.0145,1,1,1,10000,2,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,76,44.7,1.7,0.00544,1,1,1,10000,5,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,76,44.7,1.7,0.00363,1,1,1,10000,10,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,76,44.7,1.7,0.00296,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,29,19.3,1.5,0.0229,1,1,1,10000,2,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,29,19.3,1.5,0.0183,1,1,1,10000,5,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,29,19.3,1.5,0.014,1,1,1,10000,10,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,15.4,10.3,1.5,0.0171,1,1,1,10000,2,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,15.4,10.3,1.5,0.012,1,1,1,10000,5,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,15.4,10.3,1.5,0.00993,1,1,1,10000,10,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,15.4,10.3,1.5,0.00757,1,1,1,10000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,29,19.3,1.5,0.077,1,1,1,10000,2,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,29,19.3,1.5,0.068,1,1,1,10000,5,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,29,19.3,1.5,0.065,1,1,1,10000,10,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,15.4,10.3,1.5,0.00762,1,1,1,10000,2,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,15.4,10.3,1.5,0.00381,1,1,1,10000,5,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,15.4,10.3,1.5,0.00255,1,1,1,10000,10,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,76,44.7,1.7,0.1378,1,1,1,10000,2,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,76,44.7,1.7,0.135,1,1,1,10000,5,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,76,44.7,1.7,0.1253,1,1,1,10000,10,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
5,91.481,40.3,2.27,0.00423,0,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,91.481,40.3,2.27,0.00793,1,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,91.481,40.3,2.27,0.0107,1,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,91.481,40.3,2.27,0.0165,1,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,91.481,40.3,2.27,0.0101,1,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,91.481,40.3,2.27,0.00892,1,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,91.481,40.3,2.27,0.0047,1,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,91.481,40.3,2.27,0.00406,1,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,91.481,40.3,2.27,0.00214,1,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,91.481,40.3,2.27,0.00228,1,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,91.481,40.3,2.27,0.00279,1,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,91.481,40.3,2.27,0.000556,0,0,0,2000,50,0,1,1,1,0,0,132,9.29,2.1,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,91.481,40.3,2.27,0.000413,1,0,0,2000,50,0,1,1,1,0,0,132,9.29,2.1,0.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,91.481,40.3,2.27,0.000426,1,0,0,2000,50,0,1,1,1,0,0,132,9.29,2.1,0.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,91.481,40.3,2.27,0.000254,1,0,0,2000,50,0,1,1,1,0,0,132,9.29,2.1,0.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,91.481,40.3,2.27,0.000309,1,0,0,2000,50,0,1,1,1,0,0,132,9.29,2.1,0.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,91.481,40.3,2.27,0.000377,1,0,0,2000,50,0,1,1,1,0,0,132,9.29,2.1,0.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,207,90,2.3,0.03522,0,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,207,90,2.3,0.05182,1,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,207,90,2.3,0.05468,1,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,207,90,2.3,0.10343,1,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,207,90,2.3,0.0539,1,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,207,90,2.3,0.02093,1,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,207,90,2.3,0.01123,1,0,0,2000,50,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,4.4,4,1.1,0.00000543,0,1,0,40000,5,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,10.8,9,1.2,0.0003558,0,1,0,40000,5,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,13.92,11.6,1.2,0.000735,0,1,0,40000,5,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,50.7,33.8,1.5,0.00748,0,1,0,40000,5,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,5.98,4.6,1.3,0.0000161,0,1,0,40000,5,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,24.12,13.4,1.8,0.0005366,0,1,0,40000,5,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,56.62,29.8,1.9,0.00419,0,1,0,40000,5,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,62.05,36.5,1.7,0.00908,0,1,0,40000,5,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,4.48,3.2,1.4,0.00000174,0,1,0,40000,5,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,19.44,16.2,1.2,0.00785,0,1,0,40000,5,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,43.54,31.1,1.4,0.00767,0,1,0,40000,5,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,48.96,24,2.04,0.0239,1,1,0,800,20,1,0,1,1,0,0,138,17.8,1,3.1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2,48.96,24,2.04,0.0305,1,1,0,800,20,1,0,1,1,0,0,111,18,1.4,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2,48.96,24,2.04,0.0335,1,1,0,800,20,1,0,1,1,0,0,145,18.6,1,4.1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2,48.96,24,2.04,0.0145,1,1,0,800,20,1,0,1,1,0,0,80,18.4,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
15,5.1,5.1,1,0.0000458,0,1,0,148500,100,0,1,1,0,1,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,11.3,11.3,1,0.019,0,1,0,148500,100,0,1,1,0,1,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,18.6,18.6,1,0.016,0,1,0,148500,100,0,1,1,0,1,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,6.608,5.6,1.18,0.00000123,0,1,0,148500,100,0,1,1,0,1,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,20.424,13.8,1.48,0.000609,0,1,0,148500,100,0,0,1,0,1,1,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,25.65,19,1.35,0.0106,0,1,0,148500,100,0,0,1,0,1,1,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,37.74,25.5,1.48,0.023,0,0,0,1000,7.5,0,1,1,1,0,0,213,20.2,4.2,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37.74,25.5,1.48,0.015,0,0,0,1000,7.5,0,1,1,1,0,0,138,17.8,1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37.74,25.5,1.48,0.0011,0,0,0,1000,7.5,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37.74,25.5,1.48,0.0016,0,1,0,1000,7.5,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,37.74,25.5,1.48,0.0024,0,0,0,1000,7.5,0,0,1,1,0,1,213,20.2,4.2,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37.74,25.5,1.48,0.015,0,0,0,1000,7.5,0,0,1,1,0,1,138,17.8,1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37.74,25.5,1.48,0.085,0,0,0,1000,7.5,0,0,1,1,0,1,62,17.8,3.1,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37.74,25.5,1.48,0.15,0,1,0,1000,7.5,0,0,1,1,0,1,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.1,37.74,25.5,1.48,0.00015,0,0,0,1000,7.5,1,0,1,1,0,0,213,20.2,4.2,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,37.74,25.5,1.48,0.0014,0,0,0,1000,7.5,1,0,1,1,0,0,138,17.8,1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,37.74,25.5,1.48,0.021,0,0,0,1000,7.5,1,0,1,1,0,0,62,17.8,3.1,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,37.74,25.5,1.48,0.0023,0,1,0,1000,7.5,1,0,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.1,37.74,25.5,1.48,0.25,0,1,1,1000,7.5,1,0,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,2.755,1.9,1.45,0.0000486,0,1,0,9000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,11.592,5.6,2.07,0.000551,0,1,0,9000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,21.384,10.8,1.98,0.00399,0,1,0,9000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,60.75,27,2.25,0.0229,0,1,0,9000,20,0,1,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2.755,1.9,1.45,0.000114,0,0,0,9000,20,0,0,1,1,0,1,62,17.8,3.1,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.592,5.6,2.07,0.000912,0,0,0,9000,20,0,0,1,1,0,1,62,17.8,3.1,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21.384,10.8,1.98,0.00687,0,0,0,9000,20,0,0,1,1,0,1,62,17.8,3.1,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,60.75,27,2.25,0.017,0,0,0,9000,20,0,0,1,1,0,1,62,17.8,3.1,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1.4279,1.09,1.31,0.0000146,1,1,0,9000,20,1,0,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0.5,2.755,1.9,1.45,0.0000343,1,1,0,9000,20,1,0,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0.5,11.592,5.6,2.07,0.000709,1,1,0,9000,20,1,0,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0.5,21.384,10.8,1.98,0.00414,1,1,0,9000,20,1,0,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0.5,60.75,27,2.25,0.0364,1,1,0,9000,20,1,0,1,1,0,0,62,17.8,3.1,5.7,0,0,1,0,0,1,0,0,0,0,0,0,0,0
